City Name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Bluff,100,NZ,1651962575,98,-46.6,168.3333,57.79,6.02
Alofi,96,NU,1651962575,89,-19.0595,-169.9187,78.69,3.44
Kirakira,81,SB,1651962575,80,-10.4544,161.9205,82.76,10.51
Manjacaze,0,MZ,1651962533,93,-24.7117,33.8828,64.36,6.06
Kavieng,59,PG,1651962387,71,-2.5744,150.7967,84.11,17.45
Ribeira Grande,39,PT,1651962446,64,38.5167,-28.7,61.83,2.51
Busselton,82,AU,1651962576,64,-33.65,115.3333,60.46,3.27
Thompson,100,CA,1651962577,48,55.7435,-97.8558,66.36,6.91
Ushuaia,20,AR,1651962577,50,-54.8,-68.3,49.66,20.71
Punta Arenas,20,CL,1651962578,71,-53.15,-70.9167,46.51,19.57
Musoma,95,TZ,1651962579,89,-1.5,33.8,67.75,6.87
Dingle,21,PH,1651962579,87,10.9995,122.6711,78.12,8.55
Hithadhoo,13,MV,1651962579,78,-0.6,73.0833,83.5,16.49
Katsuura,42,JP,1651962295,88,35.1333,140.3,64.56,8.25
Carnarvon,40,AU,1651962387,88,-24.8667,113.6333,62.67,4.61
Rikitea,53,PF,1651962307,84,-23.1203,-134.9692,77.02,14.29
Skagen,27,DK,1651962580,71,57.7209,10.5839,49.64,2.68
Mataura,100,NZ,1651962581,99,-46.1927,168.8643,57.47,2.35
Marystown,21,CA,1651962581,100,47.1666,-55.1483,40.86,8.99
Bodø,40,NO,1651962582,86,67.28,14.405,33.94,18.41
Saint-Philippe,33,RE,1651962346,83,-21.3585,55.7679,72.99,10.87
Espinal,55,CO,1651962582,74,4.1492,-74.8843,81.99,1.68
San Rafael,0,AR,1651962285,28,-34.6177,-68.3301,69.19,12.95
Iqaluit,100,CA,1651962583,50,63.7506,-68.5145,29.93,8.05
Mishawaka,0,US,1651962545,30,41.662,-86.1586,68.47,10.36
Qaanaaq,100,GL,1651962345,82,77.484,-69.3632,17.65,3.27
Kodīnar,0,IN,1651962583,69,20.7903,70.7031,80.69,13.04
Bengkulu,100,ID,1651962584,82,-3.8004,102.2655,77.45,3.53
Butaritari,99,KI,1651962584,78,3.0707,172.7902,81.66,15.55
Upernavik,11,GL,1651962585,82,72.7868,-56.1549,14.61,6.31
Jamestown,0,US,1651962585,35,42.097,-79.2353,62.53,13.8
Lukovetskiy,10,RU,1651962586,89,64.2956,41.9211,46.11,10.8
Sakakah,1,SA,1651962586,24,29.9697,40.2064,62.17,1.59
Torbay,75,CA,1651962385,75,47.6666,-52.7314,41.29,3.44
Campana,40,AR,1651962587,76,-34.1687,-58.9591,68.11,5.5
Havøysund,100,NO,1651962587,89,70.9963,24.6622,37.63,32.5
Hilo,100,US,1651962587,80,19.7297,-155.09,90.28,12.66
Airai,57,TL,1651961991,95,-8.9266,125.4092,60.06,4.85
Ingham,0,US,1651962540,37,42.6,-84.3833,63.93,16.11
Terney,51,RU,1651962588,63,45.0503,136.6092,44.87,9.06
Puerto Ayora,33,EC,1651962393,80,-0.7393,-90.3518,78.76,9.4
Destin,0,US,1651962589,63,30.3935,-86.4958,85.42,17.27
Bay Roberts,98,CA,1651962589,56,47.5999,-53.2648,42.06,5.01
Souillac,20,MU,1651962589,81,-20.5167,57.5167,75.09,12.97
Chapais,11,CA,1651962590,40,49.7834,-74.8492,47.98,3.29
Ürümqi,75,CN,1651962590,68,43.801,87.6005,61.75,11.18
East London,100,ZA,1651962341,90,-33.0153,27.9116,62.53,14.9
Casablanca,20,MA,1651962315,80,33.5928,-7.6192,66.42,6.42
Mount Isa,0,AU,1651962533,48,-20.7333,139.5,62.37,8.05
Albany,100,US,1651962591,34,42.6001,-73.9662,58.03,1.01
Kapaa,100,US,1651962372,75,22.0752,-159.319,82.38,18.41
Meulaboh,100,ID,1651962592,90,4.1363,96.1285,76.32,4.38
Vaini,75,TO,1651962374,78,-21.2,-175.2,77.16,10.36
Abong Mbang,88,CM,1651962592,98,3.9833,13.1833,68.45,2.84
Bahía Blanca,40,AR,1651962593,44,-38.7196,-62.2724,66.65,11.41
Atuona,15,PF,1651962593,76,-9.8,-139.0333,78.49,15.61
Lagoa,48,PT,1651961999,72,39.05,-27.9833,60.58,4.45
